Metric,Value
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,217
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,113
design__max_fanout_violation__count__corner:min_tt_025C_1v80,166
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.940763382711984
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.7238199688937704
timing__hold__ws__corner:min_tt_025C_1v80,1.4443486815379565
timing__setup__ws__corner:min_tt_025C_1v80,31.692136034742877
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,1.444349
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,31.692137
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,217
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,209
design__max_fanout_violation__count__corner:min_ss_100C_1v60,166
design__max_cap_violation__count__corner:min_ss_100C_1v60,15
clock__skew__worst_hold__corner:min_ss_100C_1v60,-1.596837263171381
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.1791805643463633
timing__hold__ws__corner:min_ss_100C_1v60,2.9322467506269154
timing__setup__ws__corner:min_ss_100C_1v60,24.111817225310553
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.932247
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,24.111816
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,217
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,60
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,166
design__max_cap_violation__count__corner:min_ff_n40C_1v95,5
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.6370329999370503
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.5312823664715302
timing__hold__ws__corner:min_ff_n40C_1v95,0.9404965961116214
timing__setup__ws__corner:min_ff_n40C_1v95,34.357161643702995
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.940497
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,34.357162
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,217
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,383
design__max_fanout_violation__count__corner:max_tt_025C_1v80,166
design__max_cap_violation__count__corner:max_tt_025C_1v80,9
clock__skew__worst_hold__corner:max_tt_025C_1v80,-1.146955229922199
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.8949025662694917
timing__hold__ws__corner:max_tt_025C_1v80,1.4553276773389818
timing__setup__ws__corner:max_tt_025C_1v80,30.491873000696444
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,1.455328
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,30.491873
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,217
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,800
design__max_fanout_violation__count__corner:max_ss_100C_1v60,166
design__max_cap_violation__count__corner:max_ss_100C_1v60,18
clock__skew__worst_hold__corner:max_ss_100C_1v60,-1.854110140122362
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.4189948506744439
timing__hold__ws__corner:max_ss_100C_1v60,2.950822558711093
timing__setup__ws__corner:max_ss_100C_1v60,22.651349881356012
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,2.950823
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,22.651350
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,217
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,275
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,166
design__max_cap_violation__count__corner:max_ff_n40C_1v95,5
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.7985506371070518
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.6607163336793158
timing__hold__ws__corner:max_ff_n40C_1v95,0.952955630268633
timing__setup__ws__corner:max_ff_n40C_1v95,33.43588611731572
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.952956
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,33.435886
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,217
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,217
timing__unannotated_net_filtered__count,0
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
